Id,Galaxy,Velocity,Distance
1,NGC0300,133,2
2,NGC0925,664,9.16
3,NGC1326A,669,6.64
4,NGC1365,1594,18.25
5,NGC1425,1473,21.22
6,NGC2403,278,3.22
7,NGC2541,714,12.22
8,NGC2090,782,11.75
9,NGC3031,80,3.63
10,NGC3198,642,10.5
11,NGC3351,23456,13.9
12,NGC3368,768,10.92
13,NGC3621,1794,32.14
14,NGC4321,1433,15.21
15,NGC4414,556,17.7
16,NGC4496A,1424,14.86
17,NGC4548,1384,16.22
18,NGC4535,1455,15.78
19,NGC4536,1223,14.93
20,NGC4639,1305,21.98
21,NGC4725,1103,12.36
22,IC4182,232,-3.15
23,NGC5253,318,4.49
24,NGC7331,979,14.72
25,NGC7720,1034,13.21
